2025-04-11 10:27:22.1035 | INFO | BlogManagementSystem.Startup | NLog configuration loaded successfully.
2025-04-11 10:27:24.2882 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5095
2025-04-11 10:27:24.2957 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down.
2025-04-11 10:27:24.2957 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development
2025-04-11 10:27:24.2957 | INFO | Microsoft.Hosting.Lifetime | Content root path: F:\Maulik Bhatt\Jtable Demo\Blog Management System (API)\API\BlogManagementSystem
2025-04-11 10:27:24.5815 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/swagger - -
2025-04-11 10:27:24.6196 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/swagger - - - 301 0 - 39.7954ms
2025-04-11 10:27:24.6196 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/swagger/index.html - -
2025-04-11 10:27:24.8385 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/swagger/swagger-ui.css - -
2025-04-11 10:27:24.8385 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/swagger/index.html - - - 200 - text/html;charset=utf-8 215.6166ms
2025-04-11 10:27:24.8385 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/swagger/swagger-ui-bundle.js - -
2025-04-11 10:27:24.8385 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/swagger/swagger-ui-standalone-preset.js - -
2025-04-11 10:27:24.8385 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/_vs/browserLink - -
2025-04-11 10:27:24.8385 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/_framework/aspnetcore-browser-refresh.js - -
